Country,Year,Gender,Cause of death,Age/All age,Age/0-4,Age/5-14,Age/15-59,Age/60+,Country Code,
India,2019,Total,NCD,65.9%,11.5%,16.7%,60.1%,78.4%,IND,
Indonesia,2019,Total,NCD,76.3%,15.8%,24.3%,69.7%,86.7%,IDN,
"Iran, Islamic Rep.",2019,Total,NCD,81.3%,26.1%,43.5%,65.2%,93.1%,IRN,
Iraq,2019,Total,NCD,66.9%,21.5%,25.2%,54.4%,94.2%,IRQ,
Ireland,2019,Total,NCD,90.4%,53.2%,71.8%,79.7%,92.2%,IRL,
Isle of Man,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Total,NCD,85.4%,53.2%,67.3%,78.4%,86.9%,ISR,
Italy,2019,Total,NCD,90.6%,43.4%,75.6%,83.6%,91.3%,ITA,
Jamaica,2019,Total,NCD,79.3%,26.3%,34.6%,58.9%,88.8%,JAM,
Japan,2019,Total,NCD,84.8%,61.3%,59.7%,76.1%,85.4%,JPN,
Jordan,2019,Total,NCD,79.6%,29.9%,32.4%,72.7%,94.1%,JOR,
Kazakhstan,2019,Total,NCD,86.7%,29.6%,36.7%,72.6%,95.3%,KAZ,
Kenya,2019,Total,NCD,40.9%,11.8%,10.1%,39.8%,68.5%,KEN,
Kiribati,2019,Total,NCD,72.8%,17.2%,35.7%,78.4%,86.0%,KIR,
"Korea, Dem. People's Rep.",2019,Total,NCD,80.4%,18.6%,23.2%,59.9%,91.5%,PRK,
"Korea, Rep.",2019,Total,NCD,77.9%,37.8%,54.6%,68.0%,80.0%,KOR,
Kosovo,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Total,NCD,79.4%,48.2%,46.1%,74.6%,89.2%,KWT,
Kyrgyz Republic,2019,Total,NCD,81.6%,21.5%,35.7%,73.5%,96.7%,KGZ,
Lao PDR,2019,Total,NCD,65.3%,15.2%,28.9%,64.7%,85.7%,LAO,
Latvia,2019,Total,NCD,92.0%,40.3%,51.6%,74.8%,95.1%,LVA,
Lebanon,2019,Total,NCD,88.6%,39.5%,55.0%,78.9%,93.4%,LBN,
Lesotho,2019,Total,NCD,45.1%,11.7%,6.8%,36.0%,73.8%,LSO,
Liberia,2019,Total,NCD,31.7%,8.1%,10.8%,31.6%,63.9%,LBR,
Libya,2019,Total,NCD,75.1%,33.1%,37.8%,59.3%,91.8%,LBY,
Liechtenstein,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Total,NCD,91.2%,59.8%,43.2%,75.1%,93.9%,LTU,
Luxembourg,2019,Total,NCD,88.6%,41.9%,78.9%,79.1%,90.0%,LUX,
"Macao SAR, China",2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Total,NCD,45.0%,9.6%,13.1%,46.5%,73.5%,MDG,
Malawi,2019,Total,NCD,40.2%,11.7%,15.3%,39.9%,66.1%,MWI,
Malaysia,2019,Total,NCD,73.4%,41.1%,42.5%,63.1%,78.9%,MYS,
Maldives,2019,Total,NCD,85.2%,38.8%,32.6%,74.3%,91.9%,MDV,
Mali,2019,Total,NCD,30.3%,7.6%,16.8%,43.7%,71.5%,MLI,
Malta,2019,Total,NCD,89.7%,50.5%,62.4%,82.9%,90.8%,MLT,
Marshall Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Total,NCD,37.1%,9.8%,16.5%,41.0%,69.9%,MRT,
Mauritius,2019,Total,NCD,88.4%,29.8%,61.6%,79.1%,93.2%,MUS,
Mexico,2019,Total,NCD,80.4%,34.2%,54.9%,65.9%,90.3%,MEX,
"Micronesia, Fed. Sts.",2019,Total,NCD,79.5%,18.6%,40.0%,78.2%,92.0%,FSM,
Moldova,2019,Total,NCD,89.5%,30.4%,37.9%,73.6%,95.4%,MDA,
Monaco,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Total,NCD,82.7%,26.2%,27.2%,74.5%,96.7%,MNG,
Montenegro,2019,Total,NCD,94.1%,18.9%,31.8%,82.1%,96.3%,MNE,
Morocco,2019,Total,NCD,84.2%,20.6%,41.1%,75.0%,92.9%,APR,
Mozambique,2019,Total,NCD,36.2%,8.6%,17.4%,35.3%,71.5%,MOZ,
Myanmar,2019,Total,NCD,71.1%,12.8%,17.5%,65.2%,87.2%,MMR,
Namibia,2019,Total,NCD,43.0%,12.9%,11.0%,28.8%,74.7%,NAM,
Nauru,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Total,NCD,66.5%,13.5%,22.7%,54.5%,80.9%,NPL,
Netherlands,2019,Total,NCD,88.2%,41.3%,68.7%,82.6%,89.0%,NLD,
New Caledonia,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Total,NCD,89.6%,37.1%,47.7%,75.5%,92.2%,NZL,
Nicaragua,2019,Total,NCD,81.6%,29.4%,50.7%,69.1%,91.9%,NIC,
Niger,2019,Total,NCD,30.4%,7.8%,20.1%,44.3%,68.0%,NER,
Nigeria,2019,Total,NCD,27.1%,8.4%,18.2%,35.2%,70.0%,NGA,
North Macedonia,2019,Total,NCD,96.1%,24.3%,62.1%,88.7%,97.7%,MKD,
Northern Mariana Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Total,NCD,86.7%,46.9%,70.1%,78.1%,87.7%,NOR,
Oman,2019,Total,NCD,79.8%,45.8%,46.5%,67.8%,90.7%,OMN,
Pakistan,2019,Total,NCD,59.9%,9.2%,23.7%,68.3%,84.9%,PAK,
Palau,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Total,NCD,77.9%,34.0%,50.9%,54.1%,90.2%,PAN,
Papua New Guinea,2019,Total,NCD,62.4%,11.1%,22.4%,63.5%,86.4%,PNG,
Paraguay,2019,Total,NCD,74.9%,29.3%,46.2%,61.0%,87.2%,PRY,
Peru,2019,Total,NCD,72.6%,33.8%,40.8%,59.8%,80.6%,PER,
Philippines,2019,Total,NCD,69.7%,15.7%,39.4%,69.1%,77.7%,PHL,
Poland,2019,Total,NCD,89.9%,46.5%,57.7%,80.1%,91.7%,POL,
Portugal,2019,Total,NCD,86.7%,37.0%,72.5%,79.1%,87.6%,PRT,
Puerto Rico,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Total,NCD,76.9%,45.4%,57.1%,60.8%,94.3%,QAT,
Romania,2019,Total,NCD,91.0%,30.6%,43.9%,79.3%,93.4%,ROU,
Russian Federation,2019,Total,NCD,89.3%,43.7%,35.8%,70.2%,95.6%,RUS,
Rwanda,2019,Total,NCD,50.4%,16.1%,16.5%,50.2%,73.0%,RWA,
Samoa,2019,Total,NCD,81.8%,27.2%,28.8%,76.9%,91.7%,WSM,
San Marino,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Total,NCD,57.6%,16.2%,26.6%,56.8%,77.9%,STP,
Saudi Arabia,2019,Total,NCD,73.4%,41.2%,50.3%,61.3%,89.2%,SAU,
Senegal,2019,Total,NCD,44.9%,13.4%,22.1%,45.2%,71.5%,SEN,
Serbia,2019,Total,NCD,94.9%,31.9%,66.1%,87.2%,96.2%,SRB,
Seychelles,2019,Total,NCD,79.0%,35.0%,37.1%,71.9%,84.3%,SYC,
Sierra Leone,2019,Total,NCD,34.1%,9.3%,19.3%,42.5%,69.1%,SLE,
Singapore,2019,Total,NCD,75.0%,54.9%,33.2%,79.6%,74.1%,SGP,
Sint Maarten (Dutch part),2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Total,NCD,88.6%,46.7%,57.3%,77.7%,90.9%,SVK,
Slovenia,2019,Total,NCD,90.0%,42.4%,66.3%,79.1%,91.3%,SVN,
Solomon Islands,2019,Total,NCD,66.8%,18.1%,25.1%,65.8%,78.2%,SLB,
Somalia,2019,Total,NCD,29.9%,6.6%,12.7%,38.4%,64.4%,SOM,
South Africa,2019,Total,NCD,51.3%,14.7%,13.7%,36.8%,81.5%,ZAF,
South Sudan,2019,Total,NCD,27.9%,7.6%,8.1%,27.3%,61.8%,SSD,
Spain,2019,Total,NCD,90.8%,41.8%,77.5%,83.1%,91.7%,ESP,
Sri Lanka,2019,Total,NCD,82.5%,35.3%,45.2%,64.8%,87.9%,LKA,
St. Kitts and Nevis,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,KNA,
St. Lucia,2019,Total,NCD,82.1%,27.8%,29.6%,66.9%,90.1%,LCA,
St. Martin (French part),2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,MAF,
St. Vincent and the Grenadines,2019,Total,NCD,79.1%,45.6%,55.3%,65.8%,86.7%,VCT,
Sudan,2019,Total,NCD,53.9%,11.7%,29.3%,56.6%,88.4%,SDN,
Suriname,2019,Total,NCD,78.6%,23.5%,41.1%,65.7%,88.9%,SUR,
Sweden,2019,Total,NCD,89.0%,44.3%,67.6%,73.8%,90.4%,SWE,
Switzerland,2019,Total,NCD,89.6%,50.6%,68.3%,78.9%,90.7%,CHE,
Syrian Arab Republic,2019,Total,NCD,75.2%,21.8%,41.4%,74.0%,86.9%,SYR,
Tajikistan,2019,Total,NCD,73.2%,16.4%,39.8%,71.6%,94.8%,TJK,
Tanzania,2019,Total,NCD,34.4%,11.9%,10.4%,31.9%,65.8%,TZA,
Thailand,2019,Total,NCD,76.6%,37.1%,26.9%,60.7%,84.1%,THA,
Timor-Leste,2019,Total,NCD,53.1%,13.2%,21.5%,46.1%,76.0%,TLS,
Togo,2019,Total,NCD,41.1%,8.5%,21.8%,47.4%,71.3%,TGO,
Tonga,2019,Total,NCD,79.4%,33.0%,25.0%,70.7%,88.9%,TON,
Trinidad and Tobago,2019,Total,NCD,82.7%,33.3%,45.3%,61.9%,94.2%,TTO,
Tunisia,2019,Total,NCD,85.9%,30.6%,41.2%,72.1%,93.8%,TUN,
Turkiye,2019,Total,NCD,90.2%,45.7%,56.7%,81.6%,94.1%,TUR,
Turkmenistan,2019,Total,NCD,72.3%,19.3%,39.3%,64.8%,95.1%,TKM,
Turks and Caicos Islands,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,TCA,
Tuvalu,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,TUV,
Uganda,2019,Total,NCD,35.6%,10.7%,13.9%,38.4%,70.0%,UGA,
Ukraine,2019,Total,NCD,91.9%,34.2%,42.7%,73.0%,97.3%,UKR,
United Arab Emirates,2019,Total,NCD,77.1%,44.4%,56.3%,72.6%,89.3%,ARE,
United Kingdom,2019,Total,NCD,88.2%,38.8%,67.4%,82.1%,89.1%,GBR,
United States,2019,Total,NCD,88.1%,37.8%,48.6%,75.9%,91.3%,USA,
Uruguay,2019,Total,NCD,85.5%,46.0%,51.1%,65.1%,89.5%,URY,
Uzbekistan,2019,Total,NCD,85.2%,25.9%,28.8%,78.0%,97.0%,UZB,
Vanuatu,2019,Total,NCD,73.9%,23.7%,38.2%,73.2%,88.1%,VUT,
"Venezuela, RB",2019,Total,NCD,65.1%,24.0%,25.7%,38.7%,83.9%,VEN,
Vietnam,2019,Total,NCD,81.4%,26.7%,29.1%,70.6%,88.8%,VNM,
Virgin Islands (U.S.),2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,VIR,
West Bank and Gaza,2019,Total,NCD,N/A,N/A,N/A,N/A,N/A,PSE,
"Yemen, Rep.",2019,Total,NCD,50.4%,11.5%,25.9%,48.7%,90.0%,YEM,
Zambia,2019,Total,NCD,34.8%,10.2%,12.9%,34.5%,71.4%,ZMB,
Zimbabwe,2019,Total,NCD,39.3%,12.9%,12.6%,30.4%,70.2%,ZWE,
Afghanistan,2019,Total,CDM,32.9%,76.2%,34.5%,23.0%,8.1%,AFG,
Albania,2019,Total,CDM,3.0%,62.9%,13.5%,2.8%,2.3%,ALB,
Algeria,2019,Total,CDM,13.0%,71.6%,16.1%,9.2%,3.9%,DZA,
American Samoa,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,ASM,
Andorra,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,AND,
Angola,2019,Total,CDM,59.2%,84.3%,62.7%,51.4%,24.5%,AGO,
Antigua and Barbuda,2019,Total,CDM,9.8%,42.6%,15.9%,10.4%,9.0%,ATG,
Argentina,2019,Total,CDM,17.6%,56.6%,9.3%,11.8%,17.9%,ARG,
Armenia,2019,Total,CDM,6.7%,58.1%,21.5%,6.0%,5.6%,ARM,
Aruba,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,ABW,
Australia,2019,Total,CDM,4.9%,51.5%,6.5%,2.8%,4.9%,AUS,
Austria,2019,Total,CDM,3.6%,39.3%,6.9%,2.2%,3.5%,AUT,
Azerbaijan,2019,Total,CDM,6.0%,69.9%,35.1%,6.9%,1.8%,AZE,
"Bahamas, The",2019,Total,CDM,10.7%,68.9%,27.7%,13.7%,5.8%,BHS,
Bahrain,2019,Total,CDM,5.0%,48.2%,13.1%,3.5%,3.5%,BHR,
Bangladesh,2019,Total,CDM,22.6%,81.8%,49.2%,17.8%,12.2%,BGD,
Barbados,2019,Total,CDM,12.9%,51.2%,13.4%,16.4%,11.8%,BRB,
Belarus,2019,Total,CDM,1.6%,45.1%,10.1%,3.8%,0.9%,BLR,
Belgium,2019,Total,CDM,7.9%,47.6%,8.0%,3.8%,8.1%,BEL,
Belize,2019,Total,CDM,15.9%,67.6%,28.2%,17.7%,9.1%,BLZ,
Benin,2019,Total,CDM,51.8%,85.8%,52.3%,33.9%,20.5%,BEN,
Bermuda,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,BMU,
Bhutan,2019,Total,CDM,18.2%,77.1%,44.8%,21.4%,9.3%,BTN,
Bolivia,2019,Total,CDM,18.6%,72.2%,26.9%,13.7%,14.3%,BOL,
Bosnia and Herzegovina,2019,Total,CDM,1.8%,58.7%,14.4%,1.6%,1.5%,BIH,
Botswana,2019,Total,CDM,44.9%,77.4%,63.2%,56.9%,20.1%,BWA,
Brazil,2019,Total,CDM,13.7%,61.0%,12.8%,10.5%,13.0%,BRA,
British Virgin Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,VGB,
Brunei Darussalam,2019,Total,CDM,10.3%,44.4%,4.4%,8.7%,9.5%,BRN,
Bulgaria,2019,Total,CDM,2.2%,58.8%,17.7%,3.6%,1.7%,BGR,
Burkina Faso,2019,Total,CDM,54.1%,85.6%,51.6%,31.5%,23.8%,BFA,
Burundi,2019,Total,CDM,51.2%,82.6%,60.9%,39.1%,25.1%,BDI,
Cabo Verde,2019,Total,CDM,15.8%,64.8%,29.4%,14.6%,12.0%,CPV,
Cambodia,2019,Total,CDM,23.0%,75.0%,39.1%,19.2%,15.2%,KHM,
Cameroon,2019,Total,CDM,51.8%,83.9%,52.5%,42.1%,22.2%,CMR,
Canada,2019,Total,CDM,4.8%,61.0%,5.6%,3.3%,4.5%,CAN,
Cayman Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,CYM,
Central African Republic,2019,Total,CDM,59.1%,91.1%,66.8%,51.7%,30.8%,CAF,
Chad,2019,Total,CDM,63.4%,87.2%,58.6%,45.0%,28.7%,TCD,
Channel Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,CHI,
Chile,2019,Total,CDM,7.1%,45.1%,4.2%,6.4%,6.6%,CHL,
China,2019,Total,CDM,3.5%,57.7%,11.3%,3.6%,2.6%,CHN,
Colombia,2019,Total,CDM,10.3%,60.9%,10.0%,9.0%,7.8%,COL,
Comoros,2019,Total,CDM,44.1%,83.8%,49.8%,26.6%,18.5%,COM,
"Congo, Dem. Rep.",2019,Total,CDM,56.2%,87.9%,57.3%,42.4%,22.3%,COD,
"Congo, Rep.",2019,Total,CDM,52.0%,85.0%,66.0%,54.6%,23.5%,COG,
Costa Rica,2019,Total,CDM,7.1%,48.4%,8.8%,7.1%,5.7%,CRI,
Cote d'Ivoire,2019,Total,CDM,54.3%,84.5%,55.0%,44.5%,24.2%,CIV,
Croatia,2019,Total,CDM,3.4%,55.4%,5.8%,2.7%,3.3%,HRV,
Cuba,2019,Total,CDM,9.2%,53.8%,9.2%,7.1%,9.3%,CUB,
Curacao,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,CUW,
Cyprus,2019,Total,CDM,4.8%,67.7%,7.5%,2.5%,4.7%,CYP,
Czechia,2019,Total,CDM,5.8%,57.0%,12.5%,4.1%,5.8%,CZE,
Denmark,2019,Total,CDM,6.8%,68.7%,0.9%,3.1%,6.9%,DNK,
Djibouti,2019,Total,CDM,37.4%,84.2%,58.9%,35.3%,20.2%,DJI,
Dominica,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,DMA,
Dominican Republic,2019,Total,CDM,12.6%,70.6%,11.9%,12.4%,5.1%,DOM,
Ecuador,2019,Total,CDM,12.3%,58.6%,17.4%,9.5%,9.3%,ECU,
"Egypt, Arab Rep.",2019,Total,CDM,9.6%,66.5%,24.6%,4.8%,3.3%,EGY,
El Salvador,2019,Total,CDM,15.8%,61.3%,13.6%,11.2%,15.3%,SLV,
Equatorial Guinea,2019,Total,CDM,59.5%,89.0%,59.6%,55.8%,18.9%,GNQ,
Eritrea,2019,Total,CDM,38.6%,79.0%,56.5%,36.2%,26.9%,ERI,
Estonia,2019,Total,CDM,3.6%,43.4%,7.2%,4.7%,3.3%,EST,
Eswatini,2019,Total,CDM,42.1%,77.0%,59.1%,49.6%,17.8%,SWZ,
Ethiopia,2019,Total,CDM,44.7%,82.9%,55.8%,36.0%,22.2%,ETH,
Faroe Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,FRO,
Fiji,2019,Total,CDM,9.4%,58.5%,25.4%,6.7%,4.8%,FJI,
Finland,2019,Total,CDM,1.4%,41.0%,1.5%,1.6%,1.3%,FIN,
France,2019,Total,CDM,6.4%,52.7%,3.6%,3.0%,6.5%,FRA,
French Polynesia,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,PYF,
Gabon,2019,Total,CDM,46.3%,85.5%,62.1%,50.9%,21.0%,GAB,
"Gambia, The",2019,Total,CDM,52.2%,83.0%,52.1%,47.2%,25.7%,GMB,
Georgia,2019,Total,CDM,2.8%,56.4%,22.0%,4.4%,1.7%,GEO,
Germany,2019,Total,CDM,4.8%,51.9%,6.0%,3.3%,4.7%,DEU,
Ghana,2019,Total,CDM,45.2%,83.1%,56.2%,43.6%,23.4%,GHA,
Gibraltar,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,GIB,
Greece,2019,Total,CDM,12.9%,54.2%,4.4%,3.8%,13.6%,GRC,
Greenland,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,GRL,
Grenada,2019,Total,CDM,11.3%,75.4%,4.6%,8.6%,9.6%,GRD,
Guam,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,GUM,
Guatemala,2019,Total,CDM,22.3%,71.2%,31.7%,13.9%,17.6%,GTM,
Guinea,2019,Total,CDM,58.0%,89.4%,61.1%,41.7%,25.3%,GIN,
Guinea-Bissau,2019,Total,CDM,57.6%,84.1%,60.6%,55.0%,30.9%,GNB,
Guyana,2019,Total,CDM,17.4%,71.3%,20.3%,18.5%,11.4%,GUY,
Haiti,2019,Total,CDM,24.7%,78.7%,26.5%,18.9%,8.6%,HTI,
Honduras,2019,Total,CDM,10.7%,67.1%,8.7%,8.8%,5.9%,HND,
"Hong Kong SAR, China",2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,HKG,
Hungary,2019,Total,CDM,2.0%,54.9%,6.5%,2.3%,1.8%,HUN,
Iceland,2019,Total,CDM,5.0%,70.9%,16.5%,2.1%,5.0%,ISL,
India,2019,Total,CDM,24.2%,85.1%,59.8%,21.3%,15.5%,IND,
Indonesia,2019,Total,CDM,18.9%,79.5%,56.3%,21.5%,10.8%,IDN,
"Iran, Islamic Rep.",2019,Total,CDM,8.1%,67.7%,12.2%,6.0%,3.6%,IRN,
Iraq,2019,Total,CDM,15.3%,71.2%,13.7%,4.0%,1.9%,IRQ,
Ireland,2019,Total,CDM,5.7%,44.2%,5.3%,2.3%,5.9%,IRL,
Isle of Man,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,IMN,
Israel,2019,Total,CDM,10.3%,40.0%,4.3%,5.6%,10.4%,ISR,
Italy,2019,Total,CDM,5.5%,53.4%,4.6%,4.0%,5.5%,ITA,
Jamaica,2019,Total,CDM,9.0%,71.6%,11.5%,16.6%,3.6%,JAM,
Japan,2019,Total,CDM,10.3%,29.1%,8.7%,3.4%,10.7%,JPN,
Jordan,2019,Total,CDM,10.0%,61.2%,8.2%,3.3%,3.0%,JOR,
Kazakhstan,2019,Total,CDM,5.1%,62.4%,11.5%,5.3%,2.4%,KAZ,
Kenya,2019,Total,CDM,48.3%,81.6%,71.1%,46.2%,23.4%,KEN,
Kiribati,2019,Total,CDM,21.6%,77.7%,51.2%,12.2%,12.7%,KIR,
"Korea, Dem. People's Rep.",2019,Total,CDM,12.8%,74.3%,37.5%,24.1%,5.7%,PRK,
"Korea, Rep.",2019,Total,CDM,12.8%,53.8%,6.0%,4.3%,14.3%,KOR,
Kosovo,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,XKX,
Kuwait,2019,Total,CDM,7.1%,45.7%,8.5%,3.6%,6.1%,KWT,
Kyrgyz Republic,2019,Total,CDM,10.4%,73.6%,20.2%,7.6%,1.5%,KGZ,
Lao PDR,2019,Total,CDM,25.6%,76.5%,38.7%,18.3%,11.6%,LAO,
Latvia,2019,Total,CDM,3.0%,49.2%,6.8%,6.7%,2.3%,LVA,
Lebanon,2019,Total,CDM,5.6%,53.6%,15.9%,3.9%,4.5%,LBN,
Lesotho,2019,Total,CDM,42.2%,82.8%,74.0%,43.9%,22.1%,LSO,
Liberia,2019,Total,CDM,58.4%,87.4%,56.6%,54.3%,27.6%,LBR,
Libya,2019,Total,CDM,10.4%,58.2%,11.5%,11.7%,4.7%,LBY,
Liechtenstein,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,LIE,
Lithuania,2019,Total,CDM,3.4%,33.0%,7.1%,5.6%,3.0%,LTU,
Luxembourg,2019,Total,CDM,5.4%,49.1%,N/A,2.9%,5.4%,LUX,
"Macao SAR, China",2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,MAC,
Madagascar,2019,Total,CDM,45.5%,84.7%,66.7%,39.2%,20.8%,MDG,
Malawi,2019,Total,CDM,49.6%,82.4%,61.5%,47.8%,25.6%,MWI,
Malaysia,2019,Total,CDM,18.1%,52.1%,25.4%,17.6%,17.1%,MYS,
Maldives,2019,Total,CDM,8.2%,57.3%,31.3%,7.8%,5.2%,MDV,
Mali,2019,Total,CDM,60.3%,87.3%,61.6%,38.9%,22.5%,MLI,
Malta,2019,Total,CDM,7.0%,49.4%,2.7%,2.5%,7.0%,MLT,
Marshall Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,MHL,
Mauritania,2019,Total,CDM,52.7%,84.4%,47.0%,38.7%,24.3%,MRT,
Mauritius,2019,Total,CDM,7.3%,66.8%,17.4%,9.2%,5.1%,MUS,
Mexico,2019,Total,CDM,9.1%,58.4%,11.0%,7.0%,6.7%,MEX,
"Micronesia, Fed. Sts.",2019,Total,CDM,12.7%,76.8%,36.2%,8.3%,6.1%,FSM,
Moldova,2019,Total,CDM,4.5%,63.0%,13.0%,9.4%,1.9%,MDA,
Monaco,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,MCO,
Mongolia,2019,Total,CDM,6.3%,66.4%,19.7%,4.8%,1.3%,MNG,
Montenegro,2019,Total,CDM,1.4%,78.0%,17.4%,1.5%,1.2%,MNE,
Morocco,2019,Total,CDM,8.9%,72.6%,17.1%,7.2%,4.1%,MAY,
Mozambique,2019,Total,CDM,54.4%,86.4%,64.6%,52.1%,21.0%,MOZ,
Myanmar,2019,Total,CDM,21.6%,80.2%,55.9%,21.4%,9.5%,MMR,
Namibia,2019,Total,CDM,45.2%,79.9%,58.1%,52.5%,21.1%,NAM,
Nauru,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,NRU,
Nepal,2019,Total,CDM,24.8%,79.7%,50.5%,28.7%,14.0%,NPL,
Netherlands,2019,Total,CDM,6.0%,54.3%,6.9%,2.9%,6.1%,NLD,
New Caledonia,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,NCL,
New Zealand,2019,Total,CDM,4.4%,49.8%,3.4%,2.2%,4.2%,NZL,
Nicaragua,2019,Total,CDM,9.5%,66.9%,18.0%,6.5%,4.5%,NIC,
Niger,2019,Total,CDM,59.2%,86.3%,57.3%,37.6%,25.6%,NER,
Nigeria,2019,Total,CDM,65.2%,86.7%,62.8%,52.7%,24.1%,NGA,
North Macedonia,2019,Total,CDM,1.3%,73.4%,5.6%,1.5%,0.8%,MKD,
Northern Mariana Islands,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,MNP,
Norway,2019,Total,CDM,7.7%,50.3%,3.9%,2.5%,8.0%,NOR,
Oman,2019,Total,CDM,9.8%,48.8%,21.3%,7.5%,6.6%,OMN,
Pakistan,2019,Total,CDM,33.1%,85.0%,60.5%,18.1%,12.4%,PAK,
Palau,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,PLW,
Panama,2019,Total,CDM,13.4%,63.2%,15.9%,18.9%,7.2%,PAN,
Papua New Guinea,2019,Total,CDM,30.3%,84.3%,55.6%,24.8%,10.6%,PNG,
Paraguay,2019,Total,CDM,14.0%,63.6%,14.7%,10.8%,9.1%,PRY,
Peru,2019,Total,CDM,17.5%,56.9%,20.7%,13.8%,15.8%,PER,
Philippines,2019,Total,CDM,24.3%,78.4%,41.2%,16.3%,20.4%,PHL,
Poland,2019,Total,CDM,5.9%,48.7%,8.6%,4.6%,5.8%,POL,
Portugal,2019,Total,CDM,8.5%,59.6%,5.7%,6.2%,8.6%,PRT,
Puerto Rico,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,PRI,
Qatar,2019,Total,CDM,5.0%,49.2%,11.0%,3.0%,3.3%,QAT,
Romania,2019,Total,CDM,5.3%,60.3%,16.5%,7.9%,4.6%,ROU,
Russian Federation,2019,Total,CDM,3.9%,48.2%,9.2%,9.9%,1.7%,RUS,
Rwanda,2019,Total,CDM,38.2%,77.3%,55.1%,32.9%,19.8%,RWA,
Samoa,2019,Total,CDM,10.4%,67.6%,47.1%,6.8%,5.8%,WSM,
San Marino,2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,SMR,
Sao Tome and Principe,2019,Total,CDM,31.0%,74.9%,38.9%,23.9%,16.2%,STP,
Saudi Arabia,2019,Total,CDM,7.1%,52.1%,10.1%,6.1%,5.6%,SAU,
Senegal,2019,Total,CDM,43.8%,78.9%,51.3%,37.0%,21.6%,SEN,
Serbia,2019,Total,CDM,2.7%,63.5%,7.9%,3.4%,2.4%,SRB,
Seychelles,2019,Total,CDM,13.5%,56.2%,25.9%,10.1%,13.0%,SYC,
Sierra Leone,2019,Total,CDM,56.7%,86.0%,56.8%,41.7%,25.0%,SLE,
Singapore,2019,Total,CDM,20.7%,40.4%,25.5%,7.3%,23.9%,SGP,
Sint Maarten (Dutch part),2019,Total,CDM,N/A,N/A,N/A,N/A,N/A,SXM,
Slovak Republic,2019,Total,CDM,5.1%,50.5%,11.6%,3.8%,5.0%,SVK,
Slovenia,2019,Total,CDM,2.7%,54.8%,0.1%,0.9%,2.7%,SVN,
Solomon Islands,2019,Total,CDM,23.4%,76.3%,43.2%,16.7%,19.0%,SLB,
Somalia,2019,Total,CDM,61.0%,88.3%,66.2%,46.4%,29.1%,SOM,
